Year,Items,Value
2017,Houses damaged,5802.0
2017,Crops (Ha),5277.0
2017,Live stocks,590.0
2017,Classrooms,203.0
2017,Health Centers,3.0
2017,Road (Km),13.0
2017,Churches,37.0
2017,Bridges,49.0
2018,Houses damaged,15910.0
2018,Crops (Ha),13337.21
2018,Live stocks,815.0
2018,Classrooms,73.0
2018,Health Centers,3.0
2018,Road,32.0
2018,Churches,27.0
2018,Bridges,64.0
