Year,Geographical location,Residence,Gender,Age Group,Province,Skills,Value
2016/17,Rwanda,,, 31-35,,Transferring files between a computer and other devices,3.3
2016/17,Rwanda,,, 31-35,,Writing a computer program using a specialized programming language,3.3
2016/17,Rwanda,,, 36-40,,Copying (Moving) a file or a folder,4.8
2016/17,Rwanda,,, 36-40,,Using copy and paste,4.9
2016/17,Rwanda,,, 36-40,,Sending e-mails with attached files,4
2016/17,Rwanda,,, 36-40,,Using basic arithmetic formulae in a spreadsheet,3.5
2016/17,Rwanda,,, 36-40,,Connecting and installing new devices,4
2016/17,Rwanda,,, 36-40,,"Finding, downloading installing and configuring software",1.5
2016/17,Rwanda,,, 36-40,,Creating electronic presentations with presentation software,2
2016/17,Rwanda,,, 36-40,,Transferring files between a computer and other devices,3.1
2016/17,Rwanda,,, 36-40,,Writing a computer program using a specialized programming language,3.1
2016/17,Rwanda,,, 41-45,,Copying (Moving) a file or a folder,4.8
2016/17,Rwanda,,, 41-45,,Using copy and paste,4.7
2016/17,Rwanda,,, 41-45,,Sending e-mails with attached files,4
2016/17,Rwanda,,, 41-45,,Using basic arithmetic formulae in a spreadsheet,3.2
2016/17,Rwanda,,, 41-45,,Connecting and installing new devices,3.8
2016/17,Rwanda,,, 41-45,,"Finding, downloading installing and configuring software",2
2016/17,Rwanda,,, 41-45,,Creating electronic presentations with presentation software,1.7
2016/17,Rwanda,,, 41-45,,Transferring files between a computer and other devices,2.4
2016/17,Rwanda,,, 41-45,,Writing a computer program using a specialized programming language,2.4
2016/17,Rwanda,,, 46-50,,Copying (Moving) a file or a folder,3.4
2016/17,Rwanda,,, 46-50,,Using copy and paste,4
2016/17,Rwanda,,, 46-50,,Sending e-mails with attached files,3
2016/17,Rwanda,,, 46-50,,Using basic arithmetic formulae in a spreadsheet,2.7
2016/17,Rwanda,,, 46-50,,Connecting and installing new devices,2.8
2016/17,Rwanda,,, 46-50,,"Finding, downloading installing and configuring software",1
2016/17,Rwanda,,, 46-50,,Creating electronic presentations with presentation software,1.2
2016/17,Rwanda,,, 46-50,,Transferring files between a computer and other devices,2
2016/17,Rwanda,,, 46-50,,Writing a computer program using a specialized programming language,2
2016/17,Rwanda,,, 51-55,,Copying (Moving) a file or a folder,2
2016/17,Rwanda,,, 51-55,,Using copy and paste,1.8
2016/17,Rwanda,,, 51-55,,Sending e-mails with attached files,1.5
2016/17,Rwanda,,, 51-55,,Using basic arithmetic formulae in a spreadsheet,1.5
2016/17,Rwanda,,, 51-55,,Connecting and installing new devices,1.5
2016/17,Rwanda,,, 51-55,,"Finding, downloading installing and configuring software",0.7
2016/17,Rwanda,,, 51-55,,Creating electronic presentations with presentation software,0.6
2016/17,Rwanda,,, 51-55,,Transferring files between a computer and other devices,1.2
2016/17,Rwanda,,, 51-55,,Writing a computer program using a specialized programming language,1.2
2016/17,Rwanda,,, 56-60,,Copying (Moving) a file or a folder,0.7
2016/17,Rwanda,,, 56-60,,Using copy and paste,0.8
2016/17,Rwanda,,, 56-60,,Sending e-mails with attached files,0.5
2016/17,Rwanda,,, 56-60,,Using basic arithmetic formulae in a spreadsheet,0.4
2016/17,Rwanda,,, 56-60,,Connecting and installing new devices,0.6
2016/17,Rwanda,,, 56-60,,"Finding, downloading installing and configuring software",0.2
2016/17,Rwanda,,, 56-60,,Creating electronic presentations with presentation software,0.2
2016/17,Rwanda,,, 56-60,,Transferring files between a computer and other devices,0.5
2016/17,Rwanda,,, 56-60,,Writing a computer program using a specialized programming language,0.5
2016/17,Rwanda,,,61-65,,Copying (Moving) a file or a folder,0.9
2016/17,Rwanda,,,61-65,,Using copy and paste,0.9
2016/17,Rwanda,,,61-65,,Sending e-mails with attached files,0.6
2016/17,Rwanda,,,61-65,,Using basic arithmetic formulae in a spreadsheet,0.5
2016/17,Rwanda,,,61-65,,Connecting and installing new devices,0.6
2016/17,Rwanda,,,61-65,,"Finding, downloading installing and configuring software",0.3
2016/17,Rwanda,,,61-65,,Creating electronic presentations with presentation software,0.4
2016/17,Rwanda,,,61-65,,Transferring files between a computer and other devices,0.4
2016/17,Rwanda,,,61-65,,Writing a computer program using a specialized programming language,0.4
2016/17,Rwanda,,,66 and above,,Copying (Moving) a file or a folder,0.3
2016/17,Rwanda,,,66 and above,,Using copy and paste,0.3
2016/17,Rwanda,,,66 and above,,Sending e-mails with attached files,0.2
2016/17,Rwanda,,,66 and above,,Using basic arithmetic formulae in a spreadsheet,0.2
2016/17,Rwanda,,,66 and above,,Connecting and installing new devices,0.2
2016/17,Rwanda,,,66 and above,,"Finding, downloading installing and configuring software",0.1
2016/17,Rwanda,,,66 and above,,Creating electronic presentations with presentation software,0.1
2016/17,Rwanda,,,66 and above,,Transferring files between a computer and other devices,0.1
2016/17,Rwanda,,,66 and above,,Writing a computer program using a specialized programming language,0.1
2016/17,Rwanda,,,,Kigali City,Copying (Moving) a file or a folder,9.3
2016/17,Rwanda,,,,Kigali City,Using copy and paste,9.2
2016/17,Rwanda,,,,Kigali City,Sending e-mails with attached files,7.1
2016/17,Rwanda,,,,Kigali City,Using basic arithmetic formulae in a spreadsheet,6
2016/17,Rwanda,,,,Kigali City,Connecting and installing new devices,6.7
2016/17,Rwanda,,,,Kigali City,"Finding, downloading installing and configuring software",3
2016/17,Rwanda,,,,Kigali City,Creating electronic presentations with presentation software,2.7
2016/17,Rwanda,,,,Kigali City,Transferring files between a computer and other devices,4.8
2016/17,Rwanda,,,,Kigali City,Writing a computer program using a specialized programming language,4.8
2016/17,Rwanda,,,,Southern ,Copying (Moving) a file or a folder,1.8
2016/17,Rwanda,,,,Southern ,Using copy and paste,1.7
2016/17,Rwanda,,,,Southern ,Sending e-mails with attached files,1.4
2016/17,Rwanda,,,,Southern ,Using basic arithmetic formulae in a spreadsheet,1.2
2016/17,Rwanda,,,,Southern ,Connecting and installing new devices,1.3
2016/17,Rwanda,,,,Southern ,"Finding, downloading installing and configuring software",0.7
2016/17,Rwanda,,,,Southern ,Creating electronic presentations with presentation software,0.5
2016/17,Rwanda,,,,Southern ,Transferring files between a computer and other devices,1
2016/17,Rwanda,,,,Southern ,Writing a computer program using a specialized programming language,1
2016/17,Rwanda,,,,Western ,Copying (Moving) a file or a folder,1.6
2016/17,Rwanda,,,,Western ,Using copy and paste,1.6
2016/17,Rwanda,,,,Western ,Sending e-mails with attached files,1.2
2016/17,Rwanda,,,,Western ,Using basic arithmetic formulae in a spreadsheet,1
2016/17,Rwanda,,,,Western ,Connecting and installing new devices,1
2016/17,Rwanda,,,,Western ,"Finding, downloading installing and configuring software",0.7
2016/17,Rwanda,,,,Western ,Creating electronic presentations with presentation software,0.4
2016/17,Rwanda,,,,Western ,Transferring files between a computer and other devices,0.8
2016/17,Rwanda,,,,Western ,Writing a computer program using a specialized programming language,0.8
2016/17,Rwanda,,,,Northern ,Copying (Moving) a file or a folder,2.1
2016/17,Rwanda,,,,Northern ,Using copy and paste,2
2016/17,Rwanda,,,,Northern ,Sending e-mails with attached files,1.4
2016/17,Rwanda,,,,Northern ,Using basic arithmetic formulae in a spreadsheet,1.4
2016/17,Rwanda,,,,Northern ,Connecting and installing new devices,1.3
2016/17,Rwanda,,,,Northern ,"Finding, downloading installing and configuring software",0.7
2016/17,Rwanda,,,,Northern ,Creating electronic presentations with presentation software,0.6
2016/17,Rwanda,,,,Northern ,Transferring files between a computer and other devices,0.9
2016/17,Rwanda,,,,Northern ,Writing a computer program using a specialized programming language,0.9
2016/17,Rwanda,,,,Eastern ,Copying (Moving) a file or a folder,1.6
2016/17,Rwanda,,,,Eastern ,Using copy and paste,1.7
2016/17,Rwanda,,,,Eastern ,Sending e-mails with attached files,1.2
2016/17,Rwanda,,,,Eastern ,Using basic arithmetic formulae in a spreadsheet,1.2
2016/17,Rwanda,,,,Eastern ,Connecting and installing new devices,1.3
2016/17,Rwanda,,,,Eastern ,"Finding, downloading installing and configuring software",0.6
2016/17,Rwanda,,,,Eastern ,Creating electronic presentations with presentation software,0.5
2016/17,Rwanda,,,,Eastern ,Transferring files between a computer and other devices,0.9
2016/17,Rwanda,,,,Eastern ,Writing a computer program using a specialized programming language,0.9
,,,,,,,
